Titulo,Fecha de Estreno,Duracion,IMDb Rating,Parental,Generos,Pais de Origen,Actores Principales,Link IMDb
Shutter Island,11/03/2010,2h 18min,8.2,B15,Drama - Misterio - Suspenso,Canadá,"- Leonardo DiCaprio (Teddy Daniels)
- Mark Ruffalo (Chuck Aule)
- Ben Kingsley (Dr. Cawley)
- Max von Sydow (Dr. Naehring)",https://www.imdb.com/es/title/tt1130884/?ref_=ls_i_1
Dune: Part Two,01/03/2024,2h 46min,8.4,PG-13,Action - Adventure - Drama,United States,"- Timothée Chalamet
- Zendaya
- Rebecca Ferguson",https://www.imdb.com/es/title/tt15239678/
Dune: Part One,22/10/2021,2h 35min,8.0,PG-13,Action - Adventure - Drama,United States,"- Timothée Chalamet
- Rebecca Ferguson
- Zendaya",https://www.imdb.com/es/title/tt1160419/
Wonder Man,27/01/2026,8 eps,7.6,TV-14,Action - Adventure - Comedy,United States,"- Yahya Abdul-Mateen II
- Ben Kingsley
- X Mayo",https://www.imdb.com/es/title/tt21066182/
John Wick,24/10/2014,1h 41min,7.5,R,Action - Crime - Thriller,United States,"- Keanu Reeves
- Michael Nyqvist
- Alfie Allen",https://www.imdb.com/es/title/tt2911666/
Stranger Things,15/07/2016,5 temp,8.6,TV-MA,Drama - Fantasy - Horror,United States,"- Millie Bobby Brown
- Finn Wolfhard
- Winona Ryder",https://www.imdb.com/es/title/tt4574334/
Euphoria,16/06/2019,3 temp,8.2,TV-MA,Drama,United States,"- Zendaya
- Hunter Schafer
- Jacob Elordi",https://www.imdb.com/es/title/tt8772296/
Bad Boys II,18/07/2003,2h 27min,6.6,R,Action - Comedy - Crime,United States,"- Martin Lawrence
- Will Smith
- Jordi Mollà",https://www.imdb.com/es/title/tt0172156/
Frankenstein,07/11/2025,2h 29min,7.5,R,Drama - Fantasy - Horror,Mexico,"- Mia Goth
- Burn Gorman
- Charles Dance",https://www.imdb.com/es/title/tt1312221/
Se7en,22/9/1995,2h 07min,8.6,R,Crime - Drama - Mystery,United States,"- Morgan Freeman
- Brad Pitt
- Kevin Spacey",https://www.imdb.com/es/title/tt0114369/
