Titulo,Fecha vista,Personal Rating,Review
Shutter Island,-,9.0,No es el mejor papel de Di Caprio y Ruffalo lo hace muy bien pero la tension y lo bien que maneja el suspenso esta pelicula lo vi en pocas a lo largo de mi vida. La historia es muy buena pero ademas el ambiente que la envuelve le sube muchos puntos
Dune: Part Two,20/02/2026,8.4,"Misma contra que la parte uno, comienza medio lenta pero al menos entre con mas contexto a esta. La accion que propone esta es mas dinamica y por eso levanta mucho mas que la primera que esta muy centrada en la politica del planeta, esta se encarga mas en desarrollar a los personajes importantes y mueve mas la historia. Sume una pelicula a la lista de las que vere en el cine"
Dune: Part One,19/02/2026,7.7,"Fue como ver Star Wars sin saber nada de lo que pasa. Mi recomendacion si no conoces la historia es al principio no trates de enteder a cada personaje ni quien es cada uno, solo un par son los picantes que tenez que conocer y se hacen notar. Se nota que es una Parte Uno porque es como que toda la pelicula se siente como una introduccion, igualmente me gusto mucho siento que aunque la primera mitad cuesta mucho seguirla, al final te das cuenta que mucho de lo que tratabas de explicarte no es tan relevante y te deja bien claro que es lo que tenes que prestar atencion"
Wonder Man,29/01/2026,8.0,"Totalmente distinto a lo que me esperaba, es muy buena. No es una serie comun de Marvel, es mas tranquila y filosofica, me encantó"
John Wick,04/01/2026,5.0,"Jhon Wick es un personajazo y esta buena la accion pero me la esperaba mejor. Decepciono bastante la verdad, muy aburrida"
Stranger Things,2026,7.9,Es muy entretenida pero hay partes donde siento que fuerzan el guion a seguir un camino que no tiene mucho sentido. Igualmente Hopper goat
Euphoria,2026,3.7,"No entiendo la obsesion con esta serie, posta. Lo unico rescatable es lo buena que esta Sydney Sweeney. Despues es solo un monton de escenas de sexo y boludeces, ni siquiera pude seguir el hilo si es que hay alguna trama. Me sorprendio que es como un Elite pero Yankee, sin una historia interesante y Casey no le llega ni a la uña a Ester Exposito, no sabia que se podia meter mas drogas y sexo en menos tiempo. La deje en la primer temporada"
Bad Boys II,29/11/2025,7.0,Es un estallo
Frankenstein,14/11/2025,8.4,"Supero altamente mis expectativas. Es muy explicita, lo cual es algo bueno, asi tenia que ser. Maneja muy bien el drama en todo momento tanto para los dos puntos de vista que presenta y lo acompaña con un mensaje buenisimo de fondo"
Se7en,13/11/2025,8.5,"Ya habia leido el libro pero no puedo bajarla por saber toda la historia, la tension se siente igual a pesar de claramente no haber podido vivir con el suspenso de la pelicula. Aun asi, es un clasico, la historia es muy buena y el misterio mezclado con el juego de los pecados capitales esta muy bien elaborado"
